iter	Passed	Remaining
1261	104199	60934
1262	104310	60868
1263	104406	60793
1264	104489	60711
1265	104586	60637
1266	104677	60559
1267	104775	60485
1268	104863	60405
1269	104954	60328
1270	105047	60251
1271	105151	60181
1272	105242	60103
1273	105351	60035
1274	105443	59957
1275	105534	59880
1276	105624	59801
1277	105714	59722
1278	105815	59650
1279	105956	59600
1280	106079	59540
1281	106199	59478
1282	106304	59407
1283	106409	59337
1284	106512	59265
1285	106629	59201
1286	106741	59134
1287	106836	59058
1288	106937	58985
1289	107037	58912
1290	107151	58845
1291	107270	58783
1292	107369	58708
1293	107475	58638
1294	107586	58570
1295	107683	58494
1296	107775	58416
1297	107872	58341
1298	107969	58265
1299	108087	58201
1300	108188	58127
1301	108299	58059
1302	108377	57973
1303	108459	57889
1304	108546	57808
1305	108627	57724
1306	108710	57640
1307	108800	57560
1308	108889	57480
1309	108970	57396
1310	109051	57312
1311	109140	57232
1312	109221	57147
1313	109318	57072
1314	109410	56993
1315	109489	56907
1316	109577	56827
1317	109652	56739
1318	109734	56656
1319	109821	56574
1320	109913	56496
1321	110009	56419
1322	110097	56338
1323	110174	56252
1324	110260	56170
1325	110344	56087
1326	110429	56005
1327	110509	55920
1328	110599	55840
1329	110678	55755
1330	110765	55674
1331	110846	55589
1332	110936	55510
1333	111015	55424
1334	111093	55338
1335	111169	55252
1336	111249	55166
1337	111338	55086
1338	111422	55003
1339	111503	54919
1340	111597	54841
1341	111675	54756
1342	111757	54672
1343	111845	54591
1344	111917	54502
1345	112004	54421
1346	112085	54336
1347	112181	54259
1348	112280	54184
1349	112355	54097
1350	112444	54016
1351	112523	53931
1352	112618	53853
1353	112707	53773
1354	112789	53689
1355	112871	53605
1356	112952	53521
1357	113037	53438
1358	113122	53356
1359	113207	53273
1360	113288	53189
1361	113363	53102
1362	113448	53020
1363	113524	52933
1364	113623	52857
1365	113714	52778
1366	113808	52700
1367	113898	52619
1368	113996	52543
1369	114088	52463
1370	114173	52381
1371	114261	52300
1372	114347	52218
1373	114463	52150
1374	114619	52099
1375	114824	52071
1376	114919	51993
1377	114992	51905
1378	115081	51824
1379	115170	51743
1380	115260	51662
1381	115352	51583
1382	115455	51508
1383	115540	51425
1384	115626	51343
1385	115702	51256
1386	115785	51172
1387	115869	51089
